Name A,SMILES,Structural difference,Comparison type,More stable molecule,stability_mechanism,reason,IUPAC,QED,SA,MW,LogP,Lipinski,BRENK,PAINS,Glaxo,BRENK STRUCTS,PAINS STRUCTS,Glaxo STRUCTS
THIOANISOLE,CSC1=CC=CC=C1,thioether vs ether,oxidative_stability,less stable bro,oxidation,сера легко окисляется до сульфоксида/сульфона,methylsulfanylbenzene,"0,52","1,42","124,21","2,41",TRUE,FALSE,FALSE,FALSE,,,
ANISOLE,COC1=CC=CC=C1,,,more stable bro,,,anisole,"0,53",1,"108,14","1,7",TRUE,FALSE,FALSE,FALSE,,,
CYSTEINE,C([C@@H](C(=O)O)N)S,thiol vs alcohol,oxidative_stability,less stable bro,oxidation,тиол легко окисляется до дисульфида,(2R)-2-amino-3-sulfanylpropanoic acid,"0,42","2,98","121,16","-0,67",TRUE,TRUE,FALSE,TRUE,thiol_2,,[SH]
SERINE,C([C@@H](C(=O)O)N)O,,,more stable bro,,,(2S)-2-amino-3-hydroxypropanoic acid,"0,39","2,63","105,09","-1,61",TRUE,FALSE,FALSE,FALSE,,,
METHIONINE,CSCC[C@@H](C(=O)O)N,thioether vs alkyl,oxidative_stability,less stable bro,oxidation,сера подвержена окислению,(2S)-2-amino-4-methylsulfanylbutanoic acid,"0,6","2,64","149,22","0,15",TRUE,FALSE,FALSE,FALSE,,,
NORLEUCINE,CCCC[C@@H](C(=O)O)N,,,more stable bro,,,(2S)-2-aminohexanoic acid,"0,59","2,27","131,17","0,59",TRUE,FALSE,FALSE,FALSE,,,
ASCORBIC ACID,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,reduced vs oxidized,oxidative_stability,less stable bro,oxidation,окисленная форма стабильнее,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","0,39","3,68","176,12","-1,41",TRUE,FALSE,FALSE,FALSE,,,
DEHYDROASCORBIC ACID,C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O,,,more stable bro,,,"(5R)-5-[(1S)-1,2-dihydroxyethyl]oxolane-2,3,4-trione","0,35","3,84","174,11","-2,6",TRUE,TRUE,TRUE,FALSE,diketo_group,imine_one_A(321),
NICOTINE,CN1CCC[C@H]1C2=CN=CC=C2,amine vs n-oxide,oxidative_stability,less stable bro,oxidation,N-оксид уже окислен,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,"0,63","2,5","162,24","1,85",TRUE,FALSE,FALSE,FALSE,,,
NICOTINE N-OXIDE,CN1CCC[C@H]1C2=C[N+](=CC=C2)[O-],,,more stable bro,,,3-[(2S)-1-methylpyrrolidin-2-yl]-1-oxidopyridin-1-ium,"0,48","3,21","178,24","1,09",TRUE,TRUE,FALSE,FALSE,"N_oxide, quaternary_nitrogen_1",,
IMIDAZOLE,C1=CN=CN1,substitution,chemical_stability,less stable bro,chemical_instability,Метильная группа повышает устойчивость,1H-imidazole,"0,47","3,45","68,08","0,41",TRUE,FALSE,FALSE,FALSE,,,
METHYLIMIDAZOLE,CN1C=CN=C1,,,more stable bro,,,1-methylimidazole,"0,44","2,79","82,11","0,42",TRUE,FALSE,FALSE,FALSE,,,
FURAN,C1=COC=C1,O vs S,chemical_stability,less stable bro,chemical_instability,тиофен более ароматически устойчив,furan,"0,45","3,41","68,08","1,28",TRUE,FALSE,FALSE,FALSE,,,
THIOPHENE,C1=CSC=C1,,,more stable bro,,,thiophene,"0,45","3,19","84,14","1,75",TRUE,FALSE,FALSE,FALSE,,,
BENZOFURAN,C1=CC=C2OC=CC2=C1,O vs S,chemical_stability,less stable bro,chemical_instability,сера увеличивает стабильность,1-benzofuran,"0,52","1,8","118,13","2,43",TRUE,FALSE,FALSE,FALSE,,,
BENZOTHIOPHENE,C1=CC=C2SC=CC2=C1,,,more stable bro,,,1-benzothiophene,"0,52","1,77","134,2","2,9",TRUE,FALSE,FALSE,FALSE,,,
CHLOROBENZENE,C1=CC=C(C=C1)Cl,substitution,chemical_stability,more stable bro,chemical_instability,Нитрогруппа делает кольцо более реакционноспособным,chlorobenzene,"0,48",1,"112,56","2,34",TRUE,FALSE,FALSE,FALSE,,,
NITROBENZENE,C1=CC=C(C=C1)[N+](=O)[O-],,,less stable bro,,,nitrobenzene,"0,42","1,32","123,11","1,59",TRUE,TRUE,FALSE,FALSE,"nitro_group, Oxygen-nitrogen_single_bond",,
PYRIDINE,C1=CC=NC=C1,heterocycle vs N-oxide,oxidative_stability,more stable bro,oxidation,N-оксид более устойчив к окислению,pyridine,"0,45","1,37","79,1","1,08",TRUE,FALSE,FALSE,FALSE,,,
PYRIDINE N-OXIDE,C1=CC=[N+](C=C1)[O-],,,less stable bro,,,1-oxidopyridin-1-ium,"0,34","2,6","95,1","0,32",TRUE,TRUE,FALSE,FALSE,"N_oxide, quaternary_nitrogen_1",,
TOLUENE,CC1=CC=CC=C1,alkyl vs alcohol,oxidative_stability,more stable bro,alcohol,Бензильный спирт легче окисляется,toluene,"0,46",1,"92,14",2,TRUE,FALSE,FALSE,FALSE,,,
BENZYL ALCOHOL,C1=CC=C(C=C1)CO,,,less stable bro,,,phenylmethanol,"0,57","1,14","108,14","1,18",TRUE,FALSE,FALSE,FALSE,,,
